ID Place of Birth,Place of Birth,ID Age,Age,ID Year,Year,Birthplace,Birthplace Moe,Geography,ID Geography,Slug Geography,nativity,share
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",24,62 to 64 Years,6054,2018,27965,3715,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.025564471
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",0,Under 5 Years,6054,2018,70807,4399,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.064728892
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",3,5 to 17 Years,6054,2018,172647,10562,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.157826897
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",6,18 to 24 Years,6054,2018,86959,7453,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.079494397
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",9,25 to 34 Years,6054,2018,148274,8935,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.135546087
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",12,35 to 44 Years,6054,2018,120041,7465,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.109736622
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",15,45 to 54 Years,6054,2018,119282,7545,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.109042774
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",18,55 to 59 Years,6054,2018,54058,5649,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.049417635
3,"Native; Born Outside The United States,Born In State of Residence,Born In Other State In The United States",30,75 Years & Over,6054,2018,41565,3613,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.03799704
3,"Born In State of Residence,Native; Born Outside The United States,Born In Other State In The United States",21,60 & 61 Years,6054,2018,19945,3759,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,Native Born,0.018232911
