ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
1,Black or African American Alone,0,Not Hispanic or Latino,2018,2018,4057,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,341063,0.311785984
6,Two or More Races,1,Hispanic or Latino,2018,2018,1260.092854,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,4097,0.003745312
0,White Alone,0,Not Hispanic or Latino,2018,2018,1020,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,505438,0.462050953
5,Some Other Race Alone,1,Hispanic or Latino,2018,2018,7372,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,65361,0.05975038
0,White Alone,1,Hispanic or Latino,2018,2018,6245,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,68445,0.062569648
5,Some Other Race Alone,0,Not Hispanic or Latino,2018,2018,1439,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,3044,0.002782702
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2018,2018,73,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,46,4.20513E-05
6,Two or More Races,0,Not Hispanic or Latino,2018,2018,4618.053703,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,25298,0.023126407
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2018,2018,285,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,263,0.000240424
1,Black or African American Alone,1,Hispanic or Latino,2018,2018,3025,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,7877,0.007200834
3,Asian Alone,1,Hispanic or Latino,2018,2018,633,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,806,0.000736813
3,Asian Alone,0,Not Hispanic or Latino,2018,2018,1742,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,67332,0.061552188
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2018,2018,769,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,3113,0.002845779
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2018,2018,1518,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,1718,0.001570526
5,Some Other Race Alone,1,Hispanic or Latino,2017,2017,6275,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,59832,0.055562727
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2017,2017,140,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,85,7.89349E-05
0,White Alone,1,Hispanic or Latino,2017,2017,6676,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,73771,0.068507119
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2017,2017,232,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,355,0.000329669
1,Black or African American Alone,1,Hispanic or Latino,2017,2017,1263,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,3270,0.003036671
6,Two or More Races,1,Hispanic or Latino,2017,2017,1471.358556,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,3846,0.003571571
6,Two or More Races,0,Not Hispanic or Latino,2017,2017,5063.416337,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,28838,0.026780283
3,Asian Alone,1,Hispanic or Latino,2017,2017,308,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,239,0.000221946
5,Some Other Race Alone,0,Not Hispanic or Latino,2017,2017,1070,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,2906,0.002698644
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2017,2017,652,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,2083,0.001934369
0,White Alone,0,Not Hispanic or Latino,2017,2017,808,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,503802,0.467853538
3,Asian Alone,0,Not Hispanic or Latino,2017,2017,2319,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,61620,0.057223145
1,Black or African American Alone,0,Not Hispanic or Latino,2017,2017,3914,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,333833,0.310012565
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2017,2017,1516,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,2357,0.002188818
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2016,2016,635,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,559,0.000529941
6,Two or More Races,1,Hispanic or Latino,2016,2016,1499.381873,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,3512,0.003329431
3,Asian Alone,0,Not Hispanic or Latino,2016,2016,1576,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,59379,0.056292216
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2016,2016,706,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,2181,0.002067622
0,White Alone,0,Not Hispanic or Latino,2016,2016,1623,"Mecklenburg County, NC",05000US37119,mecklenburg-county-nc,500214,0.474210659
