ID Value Bucket,Value Bucket,ID Year,Year,Property Value by Bucket,Property Value by Bucket Moe,Geography,share
16,"$175,000 to $199,999",2018,2018,18986,2001,"Mecklenburg County, NC",0.081269075
25,"$2,000,000 or More",2018,2018,1897,639,"Mecklenburg County, NC",0.008120059
24,"$1,500,000 to $1,999,999",2018,2018,1463,502,"Mecklenburg County, NC",0.006262333
1,"$10,000 to $14,999",2018,2018,561871,12432,United States,0.007230506
2,"$15,000 to $19,999",2018,2018,480004,10818,United States,0.00617699
23,"$1,000,000 to $1,499,999",2018,2018,5527,1287,"Mecklenburg County, NC",0.023658178
3,"$20,000 to $24,999",2018,2018,519620,11799,United States,0.006686794
4,"$25,000 to $29,999",2018,2018,465467,11618,United States,0.005989919
22,"$750,000 to $999,999",2018,2018,7618,1051,"Mecklenburg County, NC",0.032608649
5,"$30,000 to $34,999",2018,2018,581079,12322,United States,0.007477686
6,"$35,000 to $39,999",2018,2018,413843,9243,United States,0.005325589
21,"$500,000 to $749,999",2018,2018,17933,1611,"Mecklenburg County, NC",0.076761736
7,"$40,000 to $49,999",2018,2018,1097775,16811,United States,0.014126852
8,"$50,000 to $59,999",2018,2018,1363891,16708,United States,0.017551399
20,"$400,000 to $499,999",2018,2018,21682,1928,"Mecklenburg County, NC",0.092809232
9,"$60,000 to $69,999",2018,2018,1543283,19444,United States,0.019859927
10,"$70,000 to $79,999",2018,2018,1795096,20917,United States,0.023100413
19,"$300,000 to $399,999",2018,2018,36257,2786,"Mecklenburg County, NC",0.155197137
11,"$80,000 to $89,999",2018,2018,2136763,20941,United States,0.027497197
12,"$90,000 to $99,999",2018,2018,1782319,21094,United States,0.022935991
18,"$250,000 to $299,999",2018,2018,25988,2293,"Mecklenburg County, NC",0.111240952
13,"$100,000 to $124,999",2018,2018,4894443,39097,United States,0.06298474
14,"$125,000 to $149,999",2018,2018,4682490,32225,United States,0.060257197
17,"$200,000 to $249,999",2018,2018,28510,2619,"Mecklenburg County, NC",0.122036307
15,"$150,000 to $174,999",2018,2018,6024955,40157,United States,0.077532872
16,"$175,000 to $199,999",2018,2018,4524274,36958,United States,0.058221175
0,"Less Than $10,000",2018,2018,1018091,13542,United States,0.013101429
17,"$200,000 to $249,999",2018,2018,8364113,47771,United States,0.107634614
18,"$250,000 to $299,999",2018,2018,7132031,41787,United States,0.091779416
15,"$150,000 to $174,999",2018,2018,20621,2049,"Mecklenburg County, NC",0.088267649
19,"$300,000 to $399,999",2018,2018,9977191,54873,United States,0.128392706
20,"$400,000 to $499,999",2018,2018,5875445,32402,United States,0.075608885
